longitude,latitude,ESU,season
-2.86664,39.44217,Western,breeding
-2.85479,39.39434,Western,breeding
-3.2479,39.82336,Western,breeding
-5.17161,39.91899,Western,breeding
-4.63049,39.78347,Western,breeding
-3.18625,39.98383,Western,breeding
-3.36758,39.96628,Western,breeding
3.07572,42.2609,Western,breeding
-6.96969,38.87833,Western,breeding
-5.21699,38.72198,Western,breeding
-5.29642,38.88821,Western,breeding
-5.2209,38.91423,Western,breeding
-5.57565,38.77496,Western,breeding
-5.45336,38.77069,Western,breeding
-5.4279,38.84778,Western,breeding
-5.38837,38.91439,Western,breeding
-5.35435,38.94809,Western,breeding
-6.63756,38.16887,Western,breeding
-6.77151,38.3221,Western,breeding
-5.95871,38.96403,Western,breeding
-5.74086,39.24443,Western,breeding
-5.68376,39.18686,Western,breeding
-6.36409,39.39576,Western,breeding
-6.37042,39.47539,Western,breeding
-6.38152,39.46894,Western,breeding
-6.26157,39.40068,Western,breeding
-6.25201,39.52237,Western,breeding
-5.78954,39.21691,Western,breeding
-5.7526,39.20485,Western,breeding
-6.41953,39.56116,Western,breeding
-5.65372,39.17363,Western,breeding
-5.97999,39.26956,Western,breeding
-6.24418,39.45616,Western,breeding
-6.26136,39.59795,Western,breeding
-3.62838,40.27957,Western,breeding
-3.6409,40.32106,Western,breeding
-3.66203,40.2295,Western,breeding
-3.59843,40.21687,Western,breeding
-5.56052,33.88977,Western,breeding
34.84409,31.56091,Western,breeding
3.51353,43.51348,Western,breeding
4.89617,43.52833,Western,breeding
35.22711,31.26117,Western,breeding
34.93018,31.82483,Western,breeding
34.74722,32.01624,Western,breeding
35.4956,32.96685,Western,breeding
34.95786,31.86673,Western,breeding
52.57026,35.75809,Western,breeding
35.49914,32.92705,Western,breeding
-5.05954,33.23697,Western,breeding
35.60078,33.07309,Western,breeding
-5.36038,33.66257,Western,breeding
-5.3729,33.68346,Western,breeding
-7.01132,33.77101,Western,breeding
-6.93421,33.73479,Western,breeding
35.20627,31.7057,Western,breeding
42.98882,38.79664,Western,breeding
34.84,40.16,Western,breeding
26.60835,41.52192,Western,breeding
37.98335,37.04914,Western,breeding
43.32613,38.50057,Western,breeding
33.4341,38.28911,Western,breeding
33.40882,38.39798,Western,breeding
-7.84482,38.07979,Western,breeding
-7.56967,37.62396,Western,breeding
-7.66075,37.64112,Western,breeding
-7.86892,38.0971,Western,breeding
-8.07395,37.726,Western,breeding
-8.08818,37.78288,Western,breeding
-8.07278,37.7951,Western,breeding
-8.00125,37.72201,Western,breeding
-8.04639,37.76837,Western,breeding
-8.00996,37.75199,Western,breeding
-7.9748,37.75792,Western,breeding
-8.11163,37.72893,Western,breeding
-8.00644,37.80854,Western,breeding
-7.9743,37.71047,Western,breeding
27.3238,42.53625,Western,breeding
22.6961,39.3324,Western,breeding
3.14001,43.23001,Western,breeding
-8.10166,37.85556,Western,breeding
3.11083,42.23746,Western,breeding
25.4044341,41.04304316,Western,breeding
25.35864749,41.04896783,Western,breeding
22.8826389,38.63298613,Western,breeding
22.41572349,40.78718188,Western,breeding
22.38493248,39.29540442,Western,breeding
22.37345565,37.51092264,Western,breeding
22.28869573,39.73688721,Western,breeding
22.26510098,39.38851966,Western,breeding
22.26009636,39.61497025,Western,breeding
22.244794,39.50068267,Western,breeding
22.12419267,39.60786591,Western,breeding
22.08067616,39.46546652,Western,breeding
21.89657925,39.40270071,Western,breeding
14.12369,37.33952,Western,breeding
14.12812,37.37165,Western,breeding
14.38922,37.23435,Western,breeding
14.43067,37.17754,Western,breeding
14.40673,37.19198,Western,breeding
14.15876,37.70759,Western,breeding
14.19942,37.48061,Western,breeding
13.88331,37.87484,Western,breeding
14.03826,37.31238,Western,breeding
13.91533,37.91835,Western,breeding
14.16025,37.47886,Western,breeding
14.37872,37.25203,Western,breeding
13.89297,37.88532,Western,breeding
14.46006,37.21703,Western,breeding
14.44356,37.06283,Western,breeding
13.55211,37.8671,Western,breeding
13.573,37.82725,Western,breeding
13.6928,37.88168,Western,breeding
14.03771,37.69905,Western,breeding
14.21878,37.68392,Western,breeding
14.16956,37.66714,Western,breeding
14.21158,37.64542,Western,breeding
14.13295,37.6065,Western,breeding
14.12597,37.32123,Western,breeding
14.07286,37.39377,Western,breeding
14.03762,37.38997,Western,breeding
13.93505,37.87611,Western,breeding
14.1362,37.42449,Western,breeding
13.6715,37.79866,Western,breeding
13.65076,37.95978,Western,breeding
10.14323,44.9776,Western,breeding
10.19127,44.96142,Western,breeding
10.19102,44.95693,Western,breeding
10.11736,44.97556,Western,breeding
8.58239,39.77349,Western,breeding
9.16102,40.78038,Western,breeding
9.72934,40.44066,Western,breeding
17.33926,40.70287,Western,breeding
16.44016,40.378,Western,breeding
16.45705,40.49845,Western,breeding
16.38785,40.5977,Western,breeding
17.3268,40.75567,Western,breeding
15.81563,40.9607,Western,breeding
15.59362,41.28334,Western,breeding
15.51192,41.23284,Western,breeding
15.59334,41.13049,Western,breeding
14.6476,37.27402,Western,breeding
14.62653,37.24529,Western,breeding
14.75699,37.24561,Western,breeding
14.73571,37.25188,Western,breeding
14.84911,41.74096,Western,breeding
18.170322,40.173828,Western,breeding
18.358435,39.930209,Western,breeding
16.523857,40.168922,Western,breeding
17.360935,40.836659,Western,breeding
17.42638,40.741827,Western,breeding
17.577998,40.729523,Western,breeding
17.515628,40.64588,Western,breeding
18.025,40.479,Western,breeding
18.455891,40.035218,Western,breeding
18.346695,40.028167,Western,breeding
11.467129,44.80248,Western,breeding
11.907655,44.660423,Western,breeding
11.962575,44.62693,Western,breeding
34.042372,39.332642,Western,breeding
-2.26698,37.84878,Western,breeding
-2.24026,37.83322,Western,breeding
-5.7242,36.46277,Western,breeding
-5.4538,36.13311,Western,breeding
-5.80544,36.74717,Western,breeding
-5.97398,36.20768,Western,breeding
-5.74405,36.81775,Western,breeding
-6.25857,36.6796,Western,breeding
-6.1503,36.75047,Western,breeding
-6.23873,36.78753,Western,breeding
-6.25213,36.75839,Western,breeding
-6.14336,36.68078,Western,breeding
-6.10295,36.78214,Western,breeding
-6.07263,36.70248,Western,breeding
-5.96041,36.60013,Western,breeding
-5.94707,36.56984,Western,breeding
-5.45129,36.43162,Western,breeding
-5.49285,36.18507,Western,breeding
-6.04059,36.45032,Western,breeding
-5.95717,36.25055,Western,breeding
-5.64225,36.85976,Western,breeding
-4.65666,37.51334,Western,breeding
-4.80195,37.63528,Western,breeding
-4.23204,37.71179,Western,breeding
-5.16521,38.57309,Western,breeding
-5.17001,38.57921,Western,breeding
-4.34228,37.83501,Western,breeding
-4.48334,37.68722,Western,breeding
-4.55389,37.68056,Western,breeding
-5.37096,38.28473,Western,breeding
-5.28556,37.70083,Western,breeding
-4.68733,37.4118,Western,breeding
-4.84611,37.5675,Western,breeding
-3.19892,37.54645,Western,breeding
-2.37302,37.83076,Western,breeding
-2.41937,37.87432,Western,breeding
-6.53894,37.33434,Western,breeding
-6.55851,37.34292,Western,breeding
-6.38231,37.3685,Western,breeding
-6.94116,37.29288,Western,breeding
-6.55799,37.39113,Western,breeding
-6.67811,37.35996,Western,breeding
-6.60457,37.31211,Western,breeding
-6.85503,37.30775,Western,breeding
-6.83617,37.38239,Western,breeding
-4.05552,38.03749,Western,breeding
-4.05751,37.93485,Western,breeding
-3.4812,38.04872,Western,breeding
-3.87063,37.94166,Western,breeding
-3.73594,37.90203,Western,breeding
-3.66585,37.82313,Western,breeding
-3.96848,37.72279,Western,breeding
-3.79512,38.0107,Western,breeding
-4.18496,37.87123,Western,breeding
-4.11948,37.76652,Western,breeding
-3.66323,37.91102,Western,breeding
-3.36879,37.95152,Western,breeding
-3.37831,38.0326,Western,breeding
-3.37068,38.01163,Western,breeding
-3.92024,38.00537,Western,breeding
-4.70418,36.81967,Western,breeding
-4.57626,37.08491,Western,breeding
-4.56014,37.13244,Western,breeding
-4.84269,37.08937,Western,breeding
-4.72386,37.17136,Western,breeding
-4.7797,37.13575,Western,breeding
-4.42784,36.72284,Western,breeding
-4.9492,36.96284,Western,breeding
-6.28194,37.07222,Western,breeding
-6.37388,37.09528,Western,breeding
-6.28198,37.4825,Western,breeding
-4.85178,37.19835,Western,breeding
-4.83716,37.22168,Western,breeding
-5.23278,37.30584,Western,breeding
-5.17145,37.34872,Western,breeding
-5.25249,37.39583,Western,breeding
-5.22944,37.41028,Western,breeding
-6.20458,37.38328,Western,breeding
-5.67508,37.00971,Western,breeding
0.24496,41.49522,Western,breeding
-0.07516,41.45093,Western,breeding
-0.0415,41.42472,Western,breeding
-0.28069,41.11873,Western,breeding
-0.26695,41.07145,Western,breeding
-0.21067,41.02204,Western,breeding
-0.29096,41.16031,Western,breeding
-0.19425,41.44899,Western,breeding
-0.11082,41.41639,Western,breeding
-0.09843,41.42974,Western,breeding
-0.07672,41.31719,Western,breeding
-0.12521,41.36859,Western,breeding
-0.12404,41.36826,Western,breeding
-0.19374,41.39722,Western,breeding
-0.17984,41.37014,Western,breeding
-0.16601,41.4092,Western,breeding
-0.22378,41.42069,Western,breeding
-4.72156,40.59934,Western,breeding
-4.58094,40.65703,Western,breeding
-4.92919,40.88752,Western,breeding
-4.72377,40.63539,Western,breeding
-4.77893,40.5982,Western,breeding
-4.85916,41.00753,Western,breeding
-4.7688,40.80478,Western,breeding
-5.00302,41.08209,Western,breeding
-4.86642,40.59879,Western,breeding
-5.04885,41.04478,Western,breeding
-4.57975,40.89493,Western,breeding
-4.83158,41.07727,Western,breeding
-5.19106,42.30261,Western,breeding
-5.68801,42.1836,Western,breeding
-5.39382,42.35351,Western,breeding
-5.4266,42.31264,Western,breeding
-5.62414,42.33058,Western,breeding
-4.74678,41.92216,Western,breeding
-4.96757,42.17956,Western,breeding
-4.78345,42.01539,Western,breeding
-4.83047,42.0314,Western,breeding
-4.90697,42.1376,Western,breeding
-4.64978,41.9658,Western,breeding
-4.69694,42.20265,Western,breeding
-4.39299,42.20332,Western,breeding
-4.57387,42.3805,Western,breeding
-4.68697,42.25924,Western,breeding
-5.75647,40.3858,Western,breeding
-5.28546,40.77115,Western,breeding
-5.29013,41.07804,Western,breeding
-6.72183,40.93449,Western,breeding
-5.4259,41.07574,Western,breeding
-5.61699,41.03102,Western,breeding
-5.63704,41.155,Western,breeding
-5.27556,41.08707,Western,breeding
-5.23223,41.08337,Western,breeding
-5.307,40.98045,Western,breeding
-4.39066,41.01206,Western,breeding
-4.40919,40.73064,Western,breeding
-4.39524,40.66716,Western,breeding
-5.21386,41.30988,Western,breeding
-5.29385,41.62116,Western,breeding
-5.3048,41.67282,Western,breeding
-5.05666,42.06027,Western,breeding
-5.13778,41.19,Western,breeding
-4.97555,42.04944,Western,breeding
-4.91195,41.28778,Western,breeding
-4.90858,41.30906,Western,breeding
-4.89806,41.90222,Western,breeding
-5.07833,41.33528,Western,breeding
-4.94194,41.90722,Western,breeding
-5.12518,41.42103,Western,breeding
-4.84056,41.36805,Western,breeding
-5.01153,41.37321,Western,breeding
-5.31857,41.74054,Western,breeding
-5.18487,41.35162,Western,breeding
-5.22278,41.21944,Western,breeding
-4.995,42.01,Western,breeding
-5.12528,42.08222,Western,breeding
-5.14694,41.87639,Western,breeding
-5.18416,42.17611,Western,breeding
-5.27857,41.69424,Western,breeding
-5.04083,41.40445,Western,breeding
-5.6187,41.4624,Western,breeding
-5.45119,41.72431,Western,breeding
-5.50502,41.76996,Western,breeding
-5.6738,41.43933,Western,breeding
-5.54336,41.72149,Western,breeding
-5.81311,41.40629,Western,breeding
-5.70323,41.83542,Western,breeding
-5.71967,41.751,Western,breeding
-5.64364,42.10848,Western,breeding
-5.72278,41.63286,Western,breeding
-5.69449,41.71554,Western,breeding
-5.34906,41.86864,Western,breeding
-5.75519,41.70542,Western,breeding
-5.49305,41.8564,Western,breeding
