,prog,locality,source,cluster,dup,X1,Y1,bio1_current,bio7_current,bio12_current,bio15_current,bio1_LIG,bio7_LIG,bio12_LIG,bio15_LIG,bio1_LGM,bio7_LGM,bio12_LGM,bio15_LGM,bio1_MH,bio7_MH,bio12_MH,bio15_MH,bio1_gfdlesm4_370,bio7_gfdlesm4_370,bio12_gfdlesm4_370,bio15_gfdlesm4_370,bio1_gfdlesm4_585,bio7_gfdlesm4_585,bio12_gfdlesm4_585,bio15_gfdlesm4_585,bio1_ukesm1_370,bio7_ukesm1_370,bio12_ukesm1_370,bio15_ukesm1_370,bio1_ukesm1_585,bio7_ukesm1_585,bio12_ukesm1_585,bio15_ukesm1_585
1563,3734,Arusha,GBIF,e,11309893,35.7463,-3.6687,210.1574993,143.8699961,622,91.10062027,206.6340332,198.9760742,442.4301758,125.0756836,182,171,553.25,94.75,204.5,152.5,691.5,87.25,244.7506428,164.6027946,646.6342773,91.29863167,248.3869314,160.6181717,608.0177002,84.69124413,251.3100243,159.050653,805.2306671,101.8240223,252.1111107,154.5786858,812.4693604,100.3009872
1564,3735,Rift Valley,GBIF,e,11035341,35.2311,-1.46111,197.8350004,158.2533328,918,47.7276179,186.3850911,229.2558594,577.4866536,87.375,163.3333333,174.3333333,696,55.66666667,184,157.6666667,963.3333333,41.33333333,228.0901655,150,818.5997518,50.79063288,228.7887383,149.9897957,810.5110067,50.6139183,229.9897957,140,1059.645426,58.1289266,230.6803195,140,1108.631104,55.2439003
1565,3739,Western Cape,GBIF,e,15070197,20.081,-33.9177,178.9583302,232.4900007,393.75,33.88028622,162.3669434,241.8791504,359.1875,29.4140625,136.5,302.75,428,32.5,166,261.5,412.75,35.5,188.3480215,230,371.3045883,20.9519043,190.2098227,238.6977625,365.2008362,22.37568808,197.8229618,245.9185123,370.064888,23.82881641,200.1919127,250,361.2844162,23.94362879
1566,3741,Rift Valley,GBIF,e,10745317,37.5626,0.840081,220.4541636,147.4100041,633.5,101.7409477,212.9836426,254.2043457,433.8635254,133.5397949,187.75,201.75,492.25,103.75,208.75,193.5,647.25,101,248.318491,140.1674676,543.0626831,85.44623756,251.6849136,149.7962308,509.607193,88.45306015,260.5747271,120.1821017,774.0406799,98.26038551,263.3706141,121.5916419,846.1007843,101.6387806
1567,3742,Northern Cape,GBIF,e,14407271,24.808,-28.619,180.3889999,314.2959938,452.8,71.832901,170.4306641,315.5986328,300.5988281,91.89335938,137.4,303.4,471.4,62.4,168.4,312.6,420.6,59.2,210,290,451.6256836,71.63686981,210,300,438.2970947,71.58292694,220,302.5008278,440.2585876,71.34909668,229.2085762,300,446.8991821,70.95804749
1568,3745,North-West,GBIF,e,14272613,25.7342,-27.5166,172.1787453,323.9599991,517.75,73.27612877,167.3261719,318.0231934,378.5893555,101.0239258,136.25,306.25,569.25,67.25,165.75,314.5,501.5,64.5,210,286.8959713,509.9322586,75.13542938,210,290,505.0749054,76.77170944,220,280,504.2524338,74.0189476,220.4143667,280,521.047699,75.00351524
1569,3746,North-West,GBIF,e,14293325,25.4025,-27.7025,174.6304131,325.9399986,491.75,74.58999825,169.0251465,330.5251465,339.404541,107.892334,138.25,311.75,520.5,68.75,167,323.25,464,66,210,290,474.7703781,75.53693771,210,300,467.5628586,76.98837662,220,280,461.4654388,74.05102348,222.6502943,280.0659132,476.1592331,74.59303093
1570,3749,North-West,GBIF,e,14231179,25.9586,-27.2019,168.2329178,328.9600086,572.5,73.967453,162.9506836,298.6906738,451.5847168,91.67724609,130.5,295.5,650.75,66.75,161.75,301.5,574.5,64,200,270.1163721,525.6902466,77.0596962,200.0364542,280,522.9091339,78.93457413,211.5432405,262.2699785,533.3516541,77.39490318,220,260.5947208,550.3092804,77.97318077
1571,3750,Northern Cape,GBIF,e,14391731,24.7967,-28.4837,183.7375021,319.6899986,456.25,72.35522079,172.4089355,320.560791,294.2487793,95.16918945,139.75,308,465.25,63.75,170,317,415.25,59.5,212.393527,290.6204081,422.6388702,72,217.0991182,300,408.8361664,71.99414063,226.5082741,308.8473082,413.0216446,71.99882889,230,300.6204081,419.351799,71.53913879
1572,3751,North-West,GBIF,e,14298503,25.3298,-27.7446,175.7558346,323.6599922,488.75,74.68942451,168.0358887,331.9597168,332.9187012,108.1274414,138,312,512.5,68.25,166,323.5,457.75,65.5,210,290,468.8711853,75.94394493,210,300,460.7928772,77.42188454,220,281.2501478,454.1505051,74.44608498,224.3427706,280.2534151,468.271492,74.56370544
1573,3754,North-West,GBIF,e,14339925,24.5528,-28.0647,188.8808346,308.380003,460.25,75.70259094,177.5983887,329.6911621,281.1696777,103.4199219,146,311.75,456,68.25,175.25,326,401,63.5,220,299.3151379,399.6706161,77.40357399,220,309.2606306,385.1532364,77.48384666,230,306.4544344,392.5215454,76.72266197,230,300.0375938,400.4245453,76.46991539
1574,3757,Free State,GBIF,e,14293328,25.5106,-27.7031,172.6391697,326.8900013,495.25,73.79280663,169.6210938,329.5625,344.2766113,108.4157715,139,312,523.5,69.25,167.75,322.75,468.25,66,210,290,470.1757355,74.98471832,210,300,463.398941,76.27145767,220,280,458.2328033,73.65768433,222.9601192,280.3401613,472.8866653,74.12826729
1575,3760,Oromia,GBIF,e,10248079,39.3146,4.8641,238.6604166,153.2399988,425.25,103.2091389,215.6213379,216.4370117,411.3867188,144.3669434,202.5,185.25,418.25,142.5,221.75,181.5,460.25,113.5,274.2686701,143.5238099,468.5717392,100.9119167,276.3453054,150,457.4938049,96.59848785,289.5468664,140,598.0331879,112.8577366,289.860673,140,642.3927002,109.3305321
1576,3764,Coast,GBIF,e,11247806,38.7577,-3.19125,246.9849968,150.2133369,908.6666667,67.38907878,244.7135417,171.7278646,593.7669271,94.79199219,222.3333333,169,582.3333333,93,240,144.6666667,783.6666667,68.33333333,270,149.4194603,593.3203532,89.81930542,272.2673925,151.7367236,517.291158,88.56225332,280,140,709.506958,89.77818044,283.4219233,140,716.2721558,86.35415649
1577,3765,Free State,GBIF,e,14438381,26.0532,-28.8368,165.7795858,331.6599941,503.25,66.8394165,158.8034668,325.7578125,355.7856445,87.31738281,125.25,320.75,531,59.5,158.25,323.25,475.5,59,200,300,538.9164734,71.16509819,200,300.4493523,533.3697662,72.94618607,210,300,530.1152039,70.06848335,220,300,536.6418304,68.20902634
1578,3766,Free State,GBIF,e,14179417,27.5765,-26.78,164.1100073,285.5299997,636.5,74.52287292,158.3586426,280.5334473,521.6025391,79.08642578,126.5,272.25,689,63,157.25,280.25,642,64.75,190,250,632.0939789,77.73870659,190,260,641.4747772,79.41915703,200.3072786,266.6380739,650.2500916,79.15888596,209.0325594,262.593708,671.8853149,81.41477966
1579,3767,Mpumalanga,GBIF,e,13972321,31.9118,-25.1163,221.707077,233.6800051,605.75,77.36276054,216.8266602,225.4128418,507.9013672,71.42602539,190,223.5,655.25,63.25,214.75,239.5,604.75,59.75,250,180,562.0819092,76.08129883,250,180,598.207489,81.03390312,260,191.0885143,682.7932281,90.71341896,267.7823496,182.279067,606.4828186,85.14081001
