,prog,locality,source,cluster,dup,X1,Y1,bio1_current,bio7_current,bio12_current,bio15_current,bio1_LIG,bio7_LIG,bio12_LIG,bio15_LIG,bio1_LGM,bio7_LGM,bio12_LGM,bio15_LGM,bio1_MH,bio7_MH,bio12_MH,bio15_MH,bio1_gfdlesm4_370,bio7_gfdlesm4_370,bio12_gfdlesm4_370,bio15_gfdlesm4_370,bio1_gfdlesm4_585,bio7_gfdlesm4_585,bio12_gfdlesm4_585,bio15_gfdlesm4_585,bio1_ukesm1_370,bio7_ukesm1_370,bio12_ukesm1_370,bio15_ukesm1_370,bio1_ukesm1_585,bio7_ukesm1_585,bio12_ukesm1_585,bio15_ukesm1_585
110,111,NA,Tracking,w,9278880,16.85961239,12.65404304,290.0522232,267.7066612,430,147.4920197,256.2548828,325.1233724,724.742513,121.1416016,263.6666667,300.6666667,205,134.3333333,270.3333333,288.3333333,738.3333333,148.6666667,310,240.0032489,476.5722453,152.5812785,310,250,458.4941305,146.1143494,320,250,694.1193644,157.9211477,320,260,682.5256958,157.2889455
111,301,NA,GBIF,w,9096787,-16.167322,14.122117,278.1066656,202.7499962,591,152.1556473,264.7312012,248.4875488,699.3669434,156.8027344,253,298.75,992.75,155,265.5,239.75,914.75,141.5,290,199.6376753,494.5940628,153.6335258,290,193.5087299,574.6955872,151.4298592,298.9435673,200,555.8312531,149,300,200,503.1241302,146.7960968
112,303,NA,GBIF,w,9096789,-16.112835,14.08605,278.3774948,214.4099903,596,151.5725174,265.4763184,249.4228516,709.53125,156.4484863,254.25,300.25,1004.25,154.25,266.25,240,928.25,141.5,290,197.0398331,502.5614853,152.8933258,290,190.8848619,584.5197754,150.4875298,299.8735332,200,566.6942444,148.592186,300,200,508.5695877,146.0870705
113,305,NA,GBIF,w,9096788,-16.166355,14.121033,278.1066656,202.7499962,591,152.1556473,264.7312012,248.4875488,699.3669434,156.8027344,253,298.75,992.75,155,265.5,239.75,914.75,141.5,290,199.6376753,494.5940628,153.6335258,290,193.5087299,574.6955872,151.4298592,298.9435673,200,555.8312531,149,300,200,503.1241302,146.7960968
114,308,NA,GBIF,w,9091610,-16.082897,14.130937,279.7408295,213.8399935,582.5,151.1107063,266.6276855,253.7783203,700.8491211,156.1418457,255,300,986,153.75,267,244.25,910,140.5,290.0520897,191.1344242,484.8279037,152.4798927,290.1562691,190,564.3390198,150.3059349,300,199.9340868,547.3252869,148.2010384,300,200,491.744545,146.0444336
115,309,NA,GBIF,w,8827434,-15.876907,16.259163,272.440834,196.6100121,228.75,152.879097,256.6411133,241.1123047,219.3964844,151.0080566,240.75,231,303.25,168.25,257,225,343.25,141.75,300,210,248.2320633,162.781044,300,200,268.8431244,162.0269508,303.2186842,217.8877687,243.4381676,159.7583046,310,210,233.7330666,157.2165184
116,319,NA,GBIF,w,9101967,-16.180262,14.066858,277.5100009,209.8266602,597.6666667,152.4660797,264.1722005,245.7897135,710.0058594,157.0042318,253.6666667,299.6666667,1013,154.3333333,265,237,937,142.3333333,290,200,510.8741862,153.6045074,290,196.6561826,593.4853109,151.1088765,298.0282911,200,574.7478638,149,300,200,517.5161947,146.4462687
117,320,NA,GBIF,w,9174519,-14.851241,13.498267,278.6770773,239.7500038,751.75,137.2054939,261.2805176,282.3276367,818.6831055,143.1674805,241.25,256.25,892.75,140,260,253.25,986.5,130.75,310,200,662.9336243,131.2782593,310,200,773.4789734,129.8876534,310,208.722868,752.0249176,134.0056801,318.154006,200.6845236,640.1947479,131.5785255
118,325,NA,GBIF,w,8806705,-16.277008,16.421579,259.340415,177.1800041,181.5,159.308773,246.8391113,203.7404785,174.8408203,157.4360352,233.75,220,229.75,174.5,247.75,204.75,265.5,153.25,280.5275774,179.8450613,214.5117722,168.3430824,284.2669487,174.4950628,227.8477516,167.6947403,284.7431707,178.1533527,218.3138542,165.0989532,288.037653,178.2924938,215.9397163,164.1396484
119,335,Saint-Louis,GBIF,w,8858502,-16.3874,16.0316,262.3162508,193.4800053,262,155.750824,239.1523438,188.0803223,274.4208984,153.932373,225.75,203.75,334.5,170,240.75,189,395.25,148.75,274.6674061,150.9518695,252.2859879,165.94347,276.8514967,147.0093226,275.4466858,164.8909645,277.3065662,150.5228138,260.9630127,160.3654327,280.311079,150.2309942,253.1560707,159.8359222
