Time	UpperNe	LowerNe	Ne
4940.381347	396451.261	96264.662	177476.582
4955.820039	396451.261	96264.662	177498.344
4971.258731	396552.012	96177.031	177519.561
4986.697422	396327.638	96264.662	177559.855
5002.136114	396738.291	96137.754	177578.462
5017.574806	396825.698	96137.754	177633.584
5033.013497	396825.698	96137.754	177672.549
5048.452189	397339.152	96122.134	177696.119
5063.890881	397650.730	96119.688	177677.219
5079.329573	398058.166	95998.996	177677.219
5094.768264	398279.813	95997.002	177706.371
5110.206956	398881.590	95954.043	177732.657
5125.645648	399014.168	95921.308	177765.093
5141.084339	399014.168	95945.353	177742.639
5156.523031	399235.873	95945.353	177736.450
5171.961723	399254.633	95777.156	177779.920
5187.400415	399314.179	95609.666	177789.711
5202.839106	399454.616	95593.679	177852.011
5218.277798	399532.638	95516.124	177853.013
5233.71649	399910.144	95487.466	177905.281
5249.155181	400241.824	95484.734	177970.913
5264.593873	400247.114	95265.506	178026.677
5280.032565	400454.735	95184.069	178032.096
5295.471257	400324.458	95228.530	178002.710
5310.909948	400324.458	95150.465	177998.584
5326.34864	400454.735	95082.612	178031.869
5341.787332	400699.960	95032.684	178070.372
5357.226023	400741.480	94983.931	178052.036
5372.664715	401113.606	94945.275	178052.036
5388.103407	401113.606	94843.233	178032.096
5403.542098	401695.485	94776.741	178052.036
5418.98079	402231.815	94638.400	178066.314
5434.419482	402231.815	94600.292	178087.440
5449.858174	402333.872	94539.260	178080.327
5465.296865	402389.569	94447.847	178072.230
5480.735557	402389.569	94276.245	178070.372
5496.174249	402399.689	94146.321	178070.648
5511.61294	402402.467	94014.543	178070.648
5527.051632	402781.157	93813.091	178072.230
5542.490324	402781.157	93766.605	178068.081
5557.929016	402674.727	93699.623	178026.677
5573.367707	402674.727	93672.700	177987.851
5588.806399	402674.727	93556.762	177967.376
5604.245091	402674.727	93514.398	177981.836
5619.683782	402924.234	93487.493	178005.036
5635.122474	403355.739	93427.881	178031.869
5650.561166	404231.220	93427.881	178052.036
5665.999858	404393.571	93283.085	178032.096
5681.438549	404446.343	93201.327	178032.096
5696.877241	404870.786	92968.226	178052.036
5712.315933	404960.131	92761.363	178002.710
5727.754624	405468.667	92580.915	177988.282
5743.193316	405673.141	92448.550	178002.710
5758.632008	405724.899	92350.567	177998.660
5774.0707	406460.045	92270.720	177998.660
5789.509391	406490.596	92152.799	178002.710
5804.948083	406533.651	91944.482	177959.594
5820.386775	406638.454	91871.007	177984.588
5835.825466	406691.663	91738.842	177981.836
5851.264158	406691.663	91579.151	177930.740
5866.70285	406691.663	91505.808	177905.281
5882.141542	406691.663	91444.851	177896.093
5897.580233	406762.703	91414.956	177940.823
5913.018925	407024.009	91320.512	177959.215
5928.457617	407087.906	91168.031	177967.376
5943.896308	407132.050	91039.488	177930.740
5959.335	407132.050	90941.743	177930.740
5974.773692	407360.904	90769.297	177896.093
5990.212383	407669.279	90496.200	177940.823
6005.651075	407949.568	90237.395	177951.893
6021.089767	407949.568	90230.418	177951.893
6036.528459	408047.648	90086.453	177940.823
6051.96715	408047.648	89755.655	177894.872
6067.405842	408047.648	89726.688	177855.797
6082.844534	408047.648	89648.188	177855.797
6098.283225	408047.648	89386.076	177833.464
6113.721917	408047.648	88944.105	177833.464
6129.160609	407949.568	88779.473	177819.532
6144.599301	408467.034	88746.165	177817.187
6160.037992	408378.130	88566.625	177780.961
6175.476684	408467.034	88503.367	177789.711
6190.915376	408378.130	88337.542	177815.210
6206.354067	408378.130	88095.826	177767.267
6221.792759	408378.130	87878.654	177742.639
6237.231451	408378.130	87764.376	177739.609
6252.670143	408047.648	87530.810	177706.371
6268.108834	408378.130	87434.714	177676.042
6283.547526	408676.484	87118.125	177657.273
6298.986218	408938.065	86798.100	177633.584
6314.424909	409002.148	86592.901	177598.243
6329.863601	408938.065	86332.695	177578.462
6345.302293	408938.065	86064.225	177507.748
6360.740985	408865.594	85876.510	177498.344
6376.179676	408938.065	85765.164	177498.344
6391.618368	408865.594	85332.954	177488.402
6407.05706	408938.065	85211.643	177488.997
6422.495751	409002.148	85036.040	177485.027
6437.934443	409221.133	84774.562	177427.605
6453.373135	409240.880	84399.218	177376.181
6468.811826	409240.880	84288.455	177375.501
6484.250518	409002.148	84060.058	177373.391
6499.68921	409002.148	83384.429	177327.338
6515.127902	408938.065	83133.577	177296.324
6530.566593	409002.148	82696.997	177276.724
6546.005285	409002.148	82525.379	177224.027
6561.443977	409240.880	82241.397	177224.027
6576.882668	409221.133	81920.392	177188.601
6592.32136	409240.880	81310.775	177167.862
6607.760052	409240.880	80963.459	177145.831
6623.198744	409343.366	80651.485	177123.547
6638.637435	409423.543	80402.598	177086.762
6654.076127	409458.729	80030.300	177057.766
6669.514819	409458.729	79800.344	177032.279
6684.95351	409423.543	79556.688	176999.220
6700.392202	409548.812	79296.641	176961.526
6715.830894	409593.774	78712.569	176949.344
6731.269586	409548.812	78055.788	176841.831
6746.708277	409788.213	77679.535	176792.930
6762.146969	409783.101	77030.160	176730.064
6777.585661	409840.378	76688.152	176714.967
6793.024352	409783.101	76359.856	176600.473
6808.463044	409783.101	75876.339	176536.275
6823.901736	409548.812	75363.785	176433.017
6839.340428	409548.812	75047.260	176375.655
6854.779119	409548.812	74137.316	176310.858
6870.217811	409548.812	73724.460	176238.733
6885.656503	409458.729	72898.654	176222.454
6901.095194	409458.729	72041.349	176208.961
6916.533886	409423.543	71437.290	176182.880
6931.972578	409343.366	71027.199	176118.838
6947.411269	409343.366	70540.575	175982.838
6962.849961	409240.880	70197.293	175942.006
6978.288653	409221.133	70080.817	175906.358
6993.727345	409221.133	69790.862	175813.516
7009.166036	409221.133	69282.879	175793.573
7024.604728	409343.366	68840.764	175734.704
7040.04342	409423.543	68283.453	175554.917
7055.482111	409458.729	67042.417	175545.798
7070.920803	408865.594	65820.554	175417.684
7086.359495	408865.594	65508.329	175384.471
7101.798187	408938.065	64989.278	175252.028
